InventoryItem,Parent
BUTTER,BREAKFAST ZARI STAFF
jelly,BREAKFAST ZARI STAFF
BREAD SLICE LARGE,BREAKFAST ZARI STAFF
EGG ,BREAKFAST ZARI STAFF
EVA (Cooking Oil  liter Pkt),BREAKFAST ZARI STAFF
CHANNA DAAL BROKEN,CHANNA DAAL FRY
ONION,CHANNA DAAL FRY
TOMATO,CHANNA DAAL FRY
GARLIC PASTE  LEHSAN PASTE,CHANNA DAAL FRY
GINGER PASTE  ADRAK PASTE,CHANNA DAAL FRY
CORIANDER - KOTHMIR DHANIA,CHANNA DAAL FRY
CHICKEN POWDER,CHANNA DAAL FRY
GINGER - ADRAK,CHANNA DAAL FRY
BHAJIA CHILLIES - BIG PAKORA MIRCH,CHANNA DAAL FRY
SALT,CHANNA DAAL FRY
EVA (Cooking Oil  liter Pkt),CHANNA DAAL FRY
CUMMIN SEEDS - ZEERA,CHANNA DAAL FRY
CUMMIN POWDER - ZEERA,CHANNA DAAL FRY
TURMERIC POWDER - HALDI,CHANNA DAAL FRY
CORIANDER POWDER - DHANIA,CHANNA DAAL FRY
BASMATI RICE,CHICKEN BIRYANI
CUMMIN SEEDS - ZEERA,CHICKEN BIRYANI
CUMMIN POWDER - ZEERA,CHICKEN BIRYANI
TURMERIC POWDER - HALDI,CHICKEN BIRYANI
CORIANDER POWDER - DHANIA,CHICKEN BIRYANI
GARAM MASALA POWDER,CHICKEN BIRYANI
PODINA MINT LEAVES,CHICKEN BIRYANI
CHICKEN KARAHI CUT MEAT,CHICKEN BIRYANI
SALT,CHICKEN BIRYANI
VINEGAR,CHICKEN BIRYANI
007 BIRYANI MASALA,CHICKEN BIRYANI
POTATO (BIG SIZE),CHICKEN BIRYANI
TOMATO,CHICKEN BIRYANI
GINGER PASTE  ADRAK PASTE,CHICKEN BIRYANI
GARLIC PASTE  LEHSAN PASTE,CHICKEN BIRYANI
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,CHICKEN BIRYANI
CORIANDER - KOTHMIR DHANIA,CHICKEN BIRYANI
GARAM MASALA WHOLE,CHICKEN BIRYANI
ONION BIRISTA,CHICKEN BIRYANI
Alubukhara (Plam),CHICKEN BIRYANI
Tez Pattak,CHICKEN BIRYANI
